NeighbourhoodID,Neighbourhood_Name,Rate,Case_Count,Low_Edu,Low_Inc,MultiGen_House,Crowded_House,Immigrants,Vis_Minorities
127.0,Bendale,7650.200267,2292,19,23,13,14,55,72
128.0,Agincourt South-Malvern West,5227.93282,1242,20,23,14,12,64,86
129.0,Agincourt North,4843.197197,1410,26,21,21,14,69,91
130.0,Milliken,4335.390637,1152,28,22,21,15,70,97
131.0,Rouge,8069.511356,3752,17,10,22,11,56,81
132.0,Malvern,8896.195826000000,3896,20,20,19,17,61,90
133.0,Centennial Scarborough,5059.122886,676,12,6,11,3,37,44
134.0,Highland Creek,8404.033936,1050,15,11,22,8,56,75
135.0,Morningside,8433.113721,1472,17,24,13,17,55,75
136.0,West Hill,6929.030374000000,1898,22,25,11,12,50,63
137.0,Woburn,8632.326821000000,4617,20,27,14,19,57,76
138.0,Eglinton East,8210.396909000000,1870,22,26,11,23,58,78
139.0,Scarborough Village,11055.96747,1849,23,32,8,22,55,73
140.0,Guildwood,5344.358173,530,13,8,8,4,32,30
